V_flux,V_flux_err,V_mag,V_mag_err,I_flux,I_flux_err,I_mag,I_mag_err,V_minus_I,color_err,X_pos,Y_pos,Main_Sequence
476.9860,5.7453,19.3076,0.0131,281.1154,2.0300,18.5763,0.0078,0.7313,0.0152,2356.0000,3336.0000,True
474.5446,5.7358,19.3132,0.0131,316.2647,2.2628,18.4484,0.0078,0.8648,0.0153,4306.0000,4640.0000,True
474.3425,5.7186,19.3137,0.0131,427.9883,3.0694,18.1199,0.0078,1.1937,0.0152,3327.0000,4272.0000,False
472.4274,5.7147,19.3181,0.0131,315.6333,2.2756,18.4505,0.0078,0.8675,0.0153,3972.0000,3601.0000,True
472.3587,5.6885,19.3182,0.0131,248.5035,1.8194,18.7102,0.0079,0.6081,0.0153,2518.0000,3412.0000,True
468.0462,5.6731,19.3282,0.0132,250.2800,1.8526,18.7024,0.0080,0.6257,0.0154,621.0000,2293.0000,True
466.9283,5.6284,19.3308,0.0131,273.4696,1.9923,18.6062,0.0079,0.7245,0.0153,5224.0000,4870.0000,True
464.1442,5.5997,19.3373,0.0131,263.8263,1.9256,18.6452,0.0079,0.6921,0.0153,2832.0000,3400.0000,True
463.8375,5.6835,19.3380,0.0133,399.9429,2.8656,18.1935,0.0078,1.1445,0.0154,408.0000,1409.0000,False
463.5575,5.6430,19.3386,0.0132,350.1916,2.5422,18.3377,0.0079,1.0009,0.0154,3773.0000,3786.0000,False
455.2644,5.5012,19.3582,0.0131,283.1477,2.0476,18.5685,0.0079,0.7898,0.0153,3194.0000,4611.0000,True
451.2656,5.4340,19.3678,0.0131,283.7764,2.0463,18.5661,0.0078,0.8018,0.0152,4164.0000,4551.0000,True
451.2224,5.4446,19.3679,0.0131,278.4571,2.0137,18.5866,0.0079,0.7813,0.0153,4067.0000,2764.0000,True
446.9923,5.3938,19.3781,0.0131,285.3115,2.0539,18.5602,0.0078,0.8179,0.0153,1823.0000,2942.0000,True
446.7750,5.3917,19.3787,0.0131,317.4434,2.2836,18.4443,0.0078,0.9343,0.0153,4149.0000,2322.0000,False
445.2049,5.3918,19.3825,0.0131,259.7273,1.9022,18.6622,0.0080,0.7203,0.0154,717.0000,418.0000,True
443.3802,5.3501,19.3870,0.0131,257.6454,1.9781,18.6709,0.0083,0.7160,0.0155,1866.0000,3314.0000,True
442.9930,5.3450,19.3879,0.0131,239.6757,1.7651,18.7494,0.0080,0.6385,0.0153,1855.0000,1571.0000,True
442.7229,5.4250,19.3886,0.0133,296.1176,2.1517,18.5198,0.0079,0.8687,0.0155,4484.0000,2939.0000,True
439.7256,5.3205,19.3959,0.0131,295.4743,2.1512,18.5222,0.0079,0.8737,0.0153,276.0000,2230.0000,True
